"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length (mils)";"Track Length (mils)";"Die Length (mils)";"Net Length (mils)";"F.Cu (mils)";"In1.Cu (mils)";"In2.Cu (mils)";"B.Cu (mils)";
069;"/oil_lvl";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
070;"/i_fuel";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
071;"/i_comp";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
072;"/rpm_l";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
073;"/i_fan2";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
074;"/rxd2";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
075;"/fuel_en";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
076;"/evap";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
077;"/volt_g";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
078;"/temp_g";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
079;"/oil_g";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
080;"/txd2";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
081;"/fuel_g";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
085;"/gnd";1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
149;"Net-(J3-Pin_3)";6;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
150;"Net-(J4-Pin_8)";5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
151;"Net-(J4-Pin_6)";5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
152;"Net-(J4-Pin_4)";5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
153;"Net-(J4-Pin_2)";5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
154;"Net-(J3-Pin_5)";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
159;"Net-(J3-Pin_2)";2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
